DATE,Open,High,Low,Close*,Adj Close**,Volume
2021-06-04,"4,190.75","4,232.00","4,177.00",4228.25,4228.25,"1,051,573"
2021-06-03,"4,208.00","4,213.25","4,165.25",4191.25,4191.25,"1,384,271"
2021-06-02,"4,198.50","4,215.00","4,190.75",4206.25,4206.25,"1,059,938"
2021-06-01,"4,206.50","4,230.00","4,190.00",4198.50,4198.50,"1,366,344"
2021-05-28,"4,211.25","4,217.50","4,201.00",4202.50,4202.50,"1,110,833"
2021-05-27,"4,193.00","4,211.50","4,177.75",4199.00,4199.00,"1,179,928"
2021-05-26,"4,188.00","4,204.25","4,180.50",4193.00,4193.00,"1,051,147"
2021-05-25,"4,199.25","4,212.75","4,179.25",4185.50,4185.50,"1,221,701"
2021-05-24,"4,151.50","4,206.25","4,142.50",4193.75,4193.75,"1,046,500"
2021-05-21,"4,152.50","4,185.00","4,147.00",4151.75,4151.75,"1,466,725"
2021-05-20,"4,107.75","4,169.25","4,084.50",4154.25,4154.25,"1,486,599"
2021-05-19,"4,114.00","4,123.00","4,055.50",4111.50,4111.50,"2,313,119"
2021-05-18,"4,159.00","4,179.50","4,111.50",4123.00,4123.00,"1,285,520"
2021-05-17,"4,169.00","4,178.75","4,136.50",4157.75,4157.75,"1,480,730"
2021-05-14,"4,112.50","4,178.25","4,105.25",4169.00,4169.00,"1,513,171"
2021-05-13,"4,053.50","4,126.75","4,029.25",4107.00,4107.00,"2,381,081"
2021-05-12,"4,140.00","4,150.50","4,051.00",4058.75,4058.75,"2,629,953"
2021-05-11,"4,176.75","4,185.50","4,103.75",4146.25,4146.25,"2,520,859"
2021-05-10,"4,226.75","4,238.25","4,172.00",4183.50,4183.50,"1,662,210"
2021-05-07,"4,197.50","4,232.25","4,191.75",4225.25,4225.25,"1,652,592"
2021-05-06,"4,158.75","4,197.25","4,140.50",4194.25,4194.25,"1,751,616"
2021-05-05,"4,158.25","4,180.00","4,153.00",4160.00,4160.00,"1,418,246"
2021-05-04,"4,184.25","4,185.50","4,120.50",4158.25,4158.25,"2,003,587"
2021-05-03,"4,181.50","4,202.50","4,181.00",4185.75,4185.75,"1,256,240"
2021-04-30,"4,200.75","4,201.50","4,167.25",4174.50,4174.50,"1,898,434"
2021-04-29,"4,184.75","4,211.00","4,168.00",4203.50,4203.50,"1,746,965"
2021-04-28,"4,180.25","4,193.75","4,172.75",4176.25,4176.25,"1,282,972"
2021-04-27,"4,181.50","4,192.50","4,166.75",4179.00,4179.00,"992,029"
2021-04-26,"4,170.75","4,186.00","4,163.75",4179.50,4179.50,"1,019,731"
2021-04-23,"4,129.00","4,186.75","4,127.50",4171.50,4171.50,"1,509,514"
2021-04-22,"4,157.50","4,171.75","4,115.25",4127.75,4127.75,"1,944,942"
2021-04-21,"4,121.25","4,167.25","4,113.00",4164.75,4164.75,"1,505,474"
2021-04-20,"4,156.25","4,167.25","4,110.50",4126.50,4126.50,"1,700,883"
2021-04-19,"4,165.00","4,174.75","4,141.75",4155.50,4155.50,"1,618,649"
2021-04-16,"4,162.75","4,183.50","4,154.25",4176.25,4176.25,"1,304,078"
2021-04-15,"4,123.50","4,166.50","4,119.50",4162.50,4162.50,"1,277,980"
2021-04-14,"4,134.75","4,144.00","4,113.00",4118.00,4118.00,"1,529,562"
2021-04-13,"4,122.75","4,139.75","4,101.25",4132.75,4132.75,"1,081,282"
2021-04-12,"4,114.25","4,124.50","4,104.50",4120.25,4120.25,"1,089,291"
2021-04-09,"4,098.00","4,121.50","4,081.00",4119.50,4119.50,"1,090,560"
2021-04-08,"4,074.25","4,098.50","4,072.50",4089.00,4089.00,"988,346"
2021-04-07,"4,067.00","4,075.50","4,056.50",4070.00,4070.00,"1,101,579"
2021-04-06,"4,069.75","4,076.00","4,052.25",4064.00,4064.00,"1,252,163"
